COLLEGE_ID,COLLEGE_NAME,CITY,STATE,COUNTRY,OWNERSHIP,TIER,CATEGORY,ESTABLISHED_DATE,STATUS
CL0001,JNTU Hyderabad Campus 1,Hyderabad,TS,India,Public,Tier-2,Engineering,1972-01-01,ACTIVE
CL0002,VIT Vellore Campus 2,Vellore,TN,India,Private,Tier-1,Engineering,1984-01-01,ACTIVE
CL0003,JNTU Hyderabad Campus 3,Hyderabad,TS,India,Public,Tier-2,Engineering,1972-01-01,ACTIVE
CL0004,PSG College of Technology Campus 4,Coimbatore,TN,India,Private,Tier-2,Engineering,1951-01-01,ACTIVE
CL0005,BITS Pilani Campus 5,Pilani,RJ,India,Private,Tier-1,Engineering,1964-01-01,ACTIVE
CL0006,Manipal Institute of Technology Campus 6,Manipal,KA,India,Private,Tier-2,Engineering,1957-01-01,ACTIVE
CL0007,IIT Bombay Campus 7,Mumbai,MH,India,Public,Tier-1,Engineering,1958-01-01,ACTIVE
CL0008,Anna University - CEG Campus 8,Chennai,TN,India,Public,Tier-1,Engineering,1978-01-01,ACTIVE
CL0009,BITS Pilani Campus 9,Pilani,RJ,India,Private,Tier-1,Engineering,1964-01-01,ACTIVE
CL0010,BITS Pilani Campus 10,Pilani,RJ,India,Private,Tier-1,Engineering,1964-01-01,ACTIVE
CL0011,VIT Vellore Campus 11,Vellore,TN,India,Private,Tier-1,Engineering,1984-01-01,ACTIVE
CL0012,PSG College of Technology Campus 12,Coimbatore,TN,India,Private,Tier-2,Engineering,1951-01-01,ACTIVE
CL0013,IIT Delhi Campus 13,Delhi,DL,India,Public,Tier-1,Engineering,1961-01-01,ACTIVE
CL0014,College of Engineering Pune (COEP) Campus 14,Pune,MH,India,Public,Tier-1,Engineering,1854-01-01,ACTIVE
CL0015,JNTU Hyderabad Campus 15,Hyderabad,TS,India,Public,Tier-2,Engineering,1972-01-01,ACTIVE
CL0016,Anna University - CEG Campus 16,Chennai,TN,India,Public,Tier-1,Engineering,1978-01-01,ACTIVE
,,Manipal,KA,India,Private,Tier-2,Engineering,1957-01-01,ACTIVE
CL0018,College of Engineering Pune (COEP) Campus 18,Pune,MH,India,Public,Tier-1,Engineering,1854-01-01,ACTIVE
CL0019,NIT Trichy Campus 19,Tiruchirappalli,TN,India,Public,Tier-1,Engineering,1964-01-01,ACTIVE
CL0020,IIT Delhi Campus 20,Delhi,DL,India,Public,Tier-1,Engineering,1961-01-01,ACTIVE
CL0021,Delhi University Campus 21,Delhi,DL,India,Public,Tier-1,University,1922-01-01,ACTIVE
CL0022,Manipal Institute of Technology Campus 22,Manipal,KA,India,Private,Tier-2,Engineering,1957-01-01,ACTIVE
CL0023,JNTU Hyderabad Campus 23,Hyderabad,TS,India,Public,Tier-2,Engineering,1972-01-01,ACTIVE
CL0024,Manipal Institute of Technology Campus 24,Manipal,KA,India,Private,Tier-2,Engineering,1957-01-01,ACTIVE
CL0025,IIT Madras Campus 25,Chennai,TN,India,Public,Tier-1,Engineering,1959-01-01,ACTIVE
CL0026,PSG College of Technology Campus 26,Coimbatore,TN,India,Private,Tier-2,Engineering,1951-01-01,ACTIVE
CL0027,IIT Madras Campus 27,Chennai,TN,India,Public,Tier-1,Engineering,1959-01-01,ACTIVE
,,Chennai,TN,India,Public,Tier-1,Engineering,1978-01-01,ACTIVE
CL0029,IIT Madras Campus 29,Chennai,TN,India,Public,Tier-1,Engineering,1959-01-01,ACTIVE
CL0030,IIT Madras Campus 30,Chennai,TN,India,Public,Tier-1,Engineering,1959-01-01,ACTIVE
CL0031,VIT Vellore Campus 31,Vellore,TN,India,Private,Tier-1,Engineering,1984-01-01,ACTIVE
CL0032,JNTU Hyderabad Campus 32,Hyderabad,TS,India,Public,Tier-2,Engineering,1972-01-01,ACTIVE
CL0033,NIT Trichy Campus 33,Tiruchirappalli,TN,India,Public,Tier-1,Engineering,1964-01-01,ACTIVE
CL0034,Amity University Campus 34,Noida,UP,India,Private,Tier-2,University,2005-01-01,ACTIVE
CL0035,IIT Madras Campus 35,Chennai,TN,India,Public,Tier-1,Engineering,1959-01-01,ACTIVE
CL0036,Jadavpur University Campus 36,Kolkata,WB,India,Public,Tier-1,Engineering,1955-01-01,ACTIVE
CL0037,SRM Institute of Science and Technology Campus 37,Kattankulathur,TN,India,Private,Tier-1,Engineering,1985-01-01,ACTIVE
CL0038,BITS Pilani Campus 38,Pilani,RJ,India,Private,Tier-1,Engineering,1964-01-01,ACTIVE
CL0039,VIT Vellore Campus 39,Vellore,TN,India,Private,Tier-1,Engineering,1984-01-01,ACTIVE
CL0040,PSG College of Technology Campus 40,Coimbatore,TN,India,Private,Tier-2,Engineering,1951-01-01,ACTIVE
CL0041,Delhi University Campus 41,Delhi,DL,India,Public,Tier-1,University,1922-01-01,ACTIVE
CL0042,NIT Trichy Campus 42,Tiruchirappalli,TN,India,Public,Tier-1,Engineering,1964-01-01,ACTIVE
CL0043,Jadavpur University Campus 43,Kolkata,WB,India,Public,Tier-1,Engineering,1955-01-01,ACTIVE
CL0044,BITS Pilani Campus 44,Pilani,RJ,India,Private,Tier-1,Engineering,1964-01-01,ACTIVE
CL0045,Jadavpur University Campus 45,Kolkata,WB,India,Public,Tier-1,Engineering,1955-01-01,ACTIVE
CL0046,PSG College of Technology Campus 46,Coimbatore,TN,India,Private,Tier-2,Engineering,1951-01-01,ACTIVE
CL0047,JNTU Hyderabad Campus 47,Hyderabad,TS,India,Public,Tier-2,Engineering,1972-01-01,ACTIVE
CL0048,PSG College of Technology Campus 48,Coimbatore,TN,India,Private,Tier-2,Engineering,1951-01-01,ACTIVE
CL0049,Delhi University Campus 49,Delhi,DL,India,Public,Tier-1,University,1922-01-01,ACTIVE
