COMPANY_ID,COMPANY_NAME,INDUSTRY,HQ_COUNTRY,SIZE_BAND,HIRING_CITY,HIRING_STATE,STATUS,PARTNER_SINCE,UPDATED_AT
CO0001,Wipro Pvt Ltd 1,IT Services,India,Large,Bengaluru,KA,ACTIVE,2010-01-01,2026-01-01 08:02:00
CO0002,Zoho Pvt Ltd 2,Tech,India,Mid,Chennai,TN,ACTIVE,2014-01-01,2026-01-01 08:08:00
CO0003,Capgemini Pvt Ltd 3,IT Services,France,Large,Pune,MH,ACTIVE,2014-01-01,2026-01-01 08:12:00
CO0004,Google Pvt Ltd 4,Tech,USA,Large,Bengaluru,KA,ACTIVE,2017-01-01,2026-01-01 08:05:00
CO0005,Accenture Pvt Ltd 5,Consulting,USA,Large,Hyderabad,TS,ACTIVE,2015-01-01,2026-01-01 08:04:00
CO0006,Zoho Pvt Ltd 6,Tech,India,Mid,Chennai,TN,ACTIVE,2014-01-01,2026-01-01 08:08:00
CO0007,Wipro Pvt Ltd 7,IT Services,India,Large,Bengaluru,KA,ACTIVE,2010-01-01,2026-01-01 08:02:00
CO0008,Capgemini Pvt Ltd 8,IT Services,France,Large,Pune,MH,ACTIVE,2014-01-01,2026-01-01 08:12:00
CO0009,Microsoft Pvt Ltd 9,Tech,USA,Large,Hyderabad,TS,ACTIVE,2017-01-01,2026-01-01 08:06:00
CO0010,Accenture Pvt Ltd 10,Consulting,USA,Large,Hyderabad,TS,ACTIVE,2015-01-01,2026-01-01 08:04:00
CO0011,Capgemini Pvt Ltd 11,IT Services,France,Large,Pune,MH,ACTIVE,2014-01-01,2026-01-01 08:12:00
CO0012,Accenture Pvt Ltd 12,Consulting,USA,Large,Hyderabad,TS,ACTIVE,2015-01-01,2026-01-01 08:04:00
CO0013,Capgemini Pvt Ltd 13,IT Services,France,Large,Pune,MH,ACTIVE,2014-01-01,2026-01-01 08:12:00
CO0014,HCLTech Pvt Ltd 14,IT Services,India,Large,Noida,UP,ACTIVE,2010-01-01,2026-01-01 08:03:00
CO0015,Capgemini Pvt Ltd 15,IT Services,France,Large,Pune,MH,ACTIVE,2014-01-01,2026-01-01 08:12:00
CO0016,Capgemini Pvt Ltd 16,IT Services,France,Large,Pune,MH,ACTIVE,2014-01-01,2026-01-01 08:12:00
CO0017,Microsoft Pvt Ltd 17,Tech,USA,Large,Hyderabad,TS,ACTIVE,2017-01-01,2026-01-01 08:06:00
CO0018,SAP Labs Pvt Ltd 18,Tech,Germany,Large,Bengaluru,KA,ACTIVE,2018-01-01,2026-01-01 08:13:00
CO0019,Infosys Pvt Ltd 19,IT Services,India,Large,Bengaluru,KA,ACTIVE,2010-01-01,2026-01-01 08:01:00
CO0020,HCLTech Pvt Ltd 20,IT Services,India,Large,Noida,UP,ACTIVE,2010-01-01,2026-01-01 08:03:00
CO0021,Capgemini Pvt Ltd 21,IT Services,France,Large,Pune,MH,ACTIVE,2014-01-01,2026-01-01 08:12:00
CO0022,HCLTech Pvt Ltd 22,IT Services,India,Large,Noida,UP,ACTIVE,2010-01-01,2026-01-01 08:03:00
CO0023,Microsoft Pvt Ltd 23,Tech,USA,Large,Hyderabad,TS,ACTIVE,2017-01-01,2026-01-01 08:06:00
