OFFER_ID,OFFER_LINE_ID,OFFER_DATE,EXPECTED_JOIN_DATE,STUDENT_ID,COMPANY_ID,COLLEGE_ID,ROLE_TITLE,OFFER_LEVEL,CTC_LPA,MONTHLY_STIPEND,JOB_CITY,HIRING_MODE,OFFER_STATUS,IS_JOINED,UPDATED_AT
OF9001,1,2018-11-09,2019-05-06,ST00319,CO4140,CL4335,QA Engineer,INTERN,15.5,68707.7,Chennai,REFERRAL,REJECTED,0,2026-01-02 12:27:00
OF9002,1,2023-05-20,2023-09-08,ST03280,CO4392,CL1450,Software Engineer,FTE,26.76,0.0,Hyderabad,REFERRAL,OFFERED,0,2026-01-04 06:23:00
OF9003,1,2019-09-04,2019-12-30,ST00383,CO1953,CL1774,Software Engineer,INTERN,14.87,98769.2,Hyderabad,ON_CAMPUS,OFFERED,0,2026-01-03 14:16:00
OF9004,1,2016-12-16,2017-04-28,ST04850,CO4439,CL4706,Data Analyst,INTERN,20.8,97126.3,Hyderabad,ON_CAMPUS,WITHDRAWN,0,2026-01-04 05:23:00
OF9005,1,2021-03-25,2021-07-23,ST00125,CO1556,CL1229,Software Engineer,INTERN,30.56,51973.6,Chennai,REFERRAL,WITHDRAWN,0,2026-01-05 13:01:00
OF9006,1,2017-09-18,2017-11-27,ST00288,CO4026,CL3549,Data Analyst,FTE,14.8,0.0,Bengaluru,OFF_CAMPUS,REJECTED,0,2026-01-02 21:12:00
OF9007,1,2024-10-10,2024-12-16,ST04949,CO1196,CL1664,QA Engineer,INTERN,42.6,99322.6,Pune,ON_CAMPUS,OFFERED,0,2026-01-02 20:59:00
OF9008,1,2016-12-17,2017-05-27,ST03270,CO4842,CL0040,QA Engineer,FTE,33.39,0.0,Noida,ON_CAMPUS,OFFERED,0,2026-01-02 16:02:00
OF9009,1,2024-05-19,2024-11-01,ST02746,CO1176,CL3787,QA Engineer,INTERN,29.42,39660.7,Hyderabad,ON_CAMPUS,JOINED,1,2026-01-04 00:40:00
OF9010,1,2017-08-08,2017-10-21,ST04770,CO4892,CL3447,Data Analyst,INTERN,36.38,54330.6,Hyderabad,OFF_CAMPUS,OFFERED,0,2026-01-04 01:44:00
OF9011,1,2022-10-14,2023-03-03,ST02069,CO2924,CL2119,Software Engineer,INTERN,26.86,34397.8,Pune,ON_CAMPUS,JOINED,1,2026-01-04 11:45:00
OF9012,1,2025-05-21,2025-06-20,ST02475,CO2527,CL2712,Software Engineer,INTERN,30.12,77809.6,Bengaluru,REFERRAL,REJECTED,0,2026-01-04 15:17:00
,1,2018-03-19,2018-05-24,ST00937,CO0247,CL0774,QA Engineer,FTE,22.18,0.0,Bengaluru,ON_CAMPUS,WITHDRAWN,0,2026-01-04 02:12:00
OF9014,1,2015-07-14,2015-08-13,ST00327,CO1906,CL3023,QA Engineer,FTE,33.82,0.0,Chennai,OFF_CAMPUS,JOINED,1,2026-01-02 08:50:00
OF9015,1,2019-07-15,2019-12-25,ST03231,CO2969,CL1902,Software Engineer,INTERN,19.24,73489.8,Pune,ON_CAMPUS,JOINED,1,2026-01-03 05:28:00
OF9016,1,2020-02-16,2020-07-27,ST03858,CO2990,CL1414,Data Analyst,INTERN,23.66,16603.6,Bengaluru,OFF_CAMPUS,OFFERED,0,2026-01-02 06:45:00
OF9017,1,2025-02-22,2025-08-09,ST00639,CO2229,CL1126,Data Analyst,INTERN,13.23,59317.8,Noida,OFF_CAMPUS,REJECTED,0,2026-01-02 23:31:00
OF9018,1,2022-06-06,2022-07-28,ST02703,CO2854,CL4543,Software Engineer,FTE,7.89,0.0,Bengaluru,REFERRAL,WITHDRAWN,0,2026-01-01 19:15:00
OF9019,1,2023-09-28,2023-11-08,ST02504,CO0537,CL1018,QA Engineer,FTE,36.83,0.0,Pune,REFERRAL,WITHDRAWN,0,2026-01-04 23:11:00
OF9020,1,2019-10-26,2020-03-03,ST00728,CO1617,CL1183,Data Analyst,INTERN,26.86,22348.2,Hyderabad,OFF_CAMPUS,ACCEPTED,0,2026-01-03 22:07:00
OF9021,1,2017-09-29,2017-12-30,ST01755,CO2937,CL2091,Data Analyst,FTE,29.83,0.0,Bengaluru,REFERRAL,WITHDRAWN,0,2026-01-04 06:13:00
OF9022,1,2019-03-15,2019-05-22,ST01291,CO4313,CL1436,Software Engineer,FTE,24.43,0.0,Noida,ON_CAMPUS,OFFERED,0,2026-01-04 22:54:00
OF9023,1,2025-03-17,2025-09-08,ST03217,CO3048,CL4302,QA Engineer,FTE,12.93,0.0,Pune,OFF_CAMPUS,JOINED,1,2026-01-04 05:46:00
OF9024,1,2020-10-26,2020-11-27,ST03938,CO0343,CL3229,Data Analyst,FTE,13.09,0.0,Hyderabad,OFF_CAMPUS,OFFERED,0,2026-01-01 18:27:00
OF9025,1,2021-11-21,2022-02-03,ST00403,CO3745,CL2453,Software Engineer,INTERN,36.08,108469.8,Pune,ON_CAMPUS,REJECTED,0,2026-01-03 21:20:00
OF9026,1,2025-03-04,2025-06-14,ST04518,CO3080,CL2950,Software Engineer,INTERN,43.62,112825.6,Noida,OFF_CAMPUS,JOINED,1,2026-01-05 12:56:00
OF9027,1,2021-06-03,2021-10-25,ST00363,CO2563,CL3646,QA Engineer,INTERN,42.43,109677.8,Bengaluru,OFF_CAMPUS,OFFERED,0,2026-01-05 03:43:00
OF9028,1,2024-12-31,2025-05-10,ST02719,CO1892,CL4373,Software Engineer,INTERN,24.15,94551.9,Pune,ON_CAMPUS,ACCEPTED,0,2026-01-04 17:40:00
OF9029,1,2025-02-09,2025-04-12,ST01239,CO1556,CL2628,Software Engineer,INTERN,42.35,65611.4,Noida,OFF_CAMPUS,JOINED,1,2026-01-05 09:48:00
OF9030,1,2025-04-19,2025-08-22,ST04797,CO0159,CL0677,Data Analyst,FTE,43.65,0.0,Noida,ON_CAMPUS,OFFERED,0,2026-01-04 05:26:00
OF9031,1,2025-03-07,2025-08-20,ST02428,CO1367,CL1662,Data Analyst,INTERN,23.53,56982.0,Bengaluru,ON_CAMPUS,WITHDRAWN,0,2026-01-05 03:01:00
OF9032,1,2020-04-20,2020-07-27,ST03800,CO3167,CL0549,Data Analyst,FTE,25.75,0.0,Noida,ON_CAMPUS,WITHDRAWN,0,2026-01-02 11:52:00
OF9033,1,2017-10-12,2017-12-01,ST04162,CO4438,CL2936,Software Engineer,FTE,25.53,0.0,Noida,ON_CAMPUS,ACCEPTED,0,2026-01-01 19:18:00
OF9034,1,2018-11-26,2019-01-26,ST03375,CO4830,CL2343,Software Engineer,INTERN,21.96,75972.6,Noida,ON_CAMPUS,WITHDRAWN,0,2026-01-02 06:03:00
OF9035,1,2022-03-02,2022-07-06,ST00313,CO2343,CL0924,QA Engineer,FTE,28.3,0.0,Hyderabad,OFF_CAMPUS,JOINED,1,2026-01-04 22:30:00
OF9036,1,2019-05-24,2019-11-10,ST01195,CO4926,CL1729,QA Engineer,FTE,18.95,0.0,Hyderabad,OFF_CAMPUS,ACCEPTED,0,2026-01-03 22:58:00
OF9037,1,2016-01-02,2016-05-03,ST01129,CO2097,CL1221,QA Engineer,INTERN,34.56,17548.3,Noida,REFERRAL,JOINED,1,2026-01-03 12:43:00
OF9038,1,2024-03-04,2024-07-26,ST02280,CO3577,CL0742,QA Engineer,INTERN,22.04,58283.3,Bengaluru,OFF_CAMPUS,ACCEPTED,0,2026-01-04 20:23:00
OF9039,1,2018-03-17,2018-09-02,ST00487,CO1069,CL1953,QA Engineer,FTE,15.56,0.0,Hyderabad,ON_CAMPUS,JOINED,1,2026-01-02 08:05:00
OF9040,1,2022-10-01,2023-01-19,ST02155,CO4869,CL3867,Software Engineer,INTERN,6.88,97408.2,Pune,REFERRAL,JOINED,1,2026-01-04 20:17:00
OF9041,1,2024-04-06,2024-08-21,ST02960,CO2762,CL2458,QA Engineer,FTE,37.98,0.0,Bengaluru,REFERRAL,REJECTED,0,2026-01-03 19:30:00
OF9042,1,2019-12-16,2020-03-01,ST02167,CO1927,CL3570,Software Engineer,INTERN,40.41,115498.5,Bengaluru,OFF_CAMPUS,WITHDRAWN,0,2026-01-04 10:43:00
OF9043,1,2017-04-05,2017-05-22,ST02899,CO3216,CL1041,QA Engineer,FTE,40.14,0.0,Hyderabad,REFERRAL,REJECTED,0,2026-01-04 07:23:00
OF9044,1,2017-07-06,2017-12-08,ST00206,CO1512,CL2521,QA Engineer,FTE,13.5,0.0,Chennai,REFERRAL,OFFERED,0,2026-01-05 06:27:00
OF9045,1,2018-08-04,2018-10-26,ST01918,CO4451,CL2628,QA Engineer,FTE,19.22,0.0,Hyderabad,OFF_CAMPUS,JOINED,1,2026-01-02 13:15:00
OF9046,1,2019-07-21,2019-11-26,ST01699,CO2651,CL3703,Software Engineer,INTERN,23.34,24385.1,Pune,REFERRAL,JOINED,1,2026-01-04 14:15:00
OF9047,1,2021-03-10,2021-05-07,ST04888,CO3562,CL3949,Data Analyst,FTE,16.42,0.0,Pune,ON_CAMPUS,WITHDRAWN,0,2026-01-03 20:48:00
OF9048,1,2022-05-05,2022-08-16,ST00502,CO0779,CL3550,Software Engineer,INTERN,28.88,16443.5,Bengaluru,REFERRAL,ACCEPTED,0,2026-01-03 19:46:00
OF9049,1,2023-03-28,2023-08-04,ST04613,CO2293,CL2764,Software Engineer,INTERN,10.01,113893.4,Pune,ON_CAMPUS,ACCEPTED,0,2026-01-04 19:29:00
OF9050,1,2025-04-29,2025-05-31,ST02102,CO2647,CL4769,Software Engineer,FTE,32.87,0.0,Hyderabad,ON_CAMPUS,ACCEPTED,0,2026-01-05 12:28:00
OF9051,1,2021-02-13,2021-04-10,ST03640,CO3642,CL3975,Software Engineer,FTE,34.98,0.0,Hyderabad,ON_CAMPUS,WITHDRAWN,0,2026-01-05 05:43:00
OF9052,1,2017-06-16,2017-08-19,ST01616,CO4683,CL3332,QA Engineer,INTERN,37.45,63253.6,Pune,REFERRAL,OFFERED,0,2026-01-05 11:22:00
OF9053,1,2025-06-07,2025-09-30,ST04669,CO0633,CL3202,QA Engineer,FTE,26.18,0.0,Bengaluru,OFF_CAMPUS,ACCEPTED,0,2026-01-05 00:14:00
OF9054,1,2021-02-14,2021-06-21,ST04855,CO0888,CL3519,QA Engineer,FTE,34.94,0.0,Hyderabad,OFF_CAMPUS,OFFERED,0,2026-01-01 11:00:00
OF9055,1,2020-02-14,2020-07-07,ST04742,CO0005,CL0097,Data Analyst,FTE,9.81,0.0,Bengaluru,ON_CAMPUS,OFFERED,0,2026-01-01 10:18:00
OF9056,1,2020-08-08,2020-12-11,ST00463,CO4645,CL1671,Software Engineer,FTE,29.79,0.0,Pune,ON_CAMPUS,OFFERED,0,2026-01-05 12:01:00
OF9057,1,2021-11-29,2022-03-29,ST01345,CO3875,CL4546,Data Analyst,FTE,6.01,0.0,Hyderabad,ON_CAMPUS,REJECTED,0,2026-01-03 23:31:00
OF9058,1,2024-03-30,2024-05-26,ST02132,CO2830,CL0358,Software Engineer,INTERN,18.71,38051.0,Hyderabad,ON_CAMPUS,ACCEPTED,0,2026-01-04 21:45:00
OF9059,1,2021-11-05,2021-12-12,ST02068,CO4734,CL3953,Data Analyst,FTE,11.83,0.0,Bengaluru,REFERRAL,WITHDRAWN,0,2026-01-04 20:20:00
OF9060,1,2021-11-29,2022-02-02,ST00834,CO4040,CL4198,Software Engineer,INTERN,28.91,35532.4,Bengaluru,OFF_CAMPUS,OFFERED,0,2026-01-01 19:55:00
OF9061,1,2018-05-19,2018-11-10,ST01777,CO2866,CL3507,Software Engineer,FTE,12.58,0.0,Bengaluru,ON_CAMPUS,JOINED,1,2026-01-02 00:59:00
OF9062,1,2017-01-15,2017-03-29,ST01105,CO2631,CL3080,Software Engineer,FTE,17.8,0.0,Noida,REFERRAL,OFFERED,0,2026-01-03 05:55:00
OF9063,1,2022-08-15,2022-10-14,ST03838,CO2143,CL4349,Software Engineer,INTERN,37.59,86638.8,Bengaluru,OFF_CAMPUS,REJECTED,0,2026-01-01 13:36:00
OF9064,1,2021-02-26,2021-05-27,ST04874,CO1029,CL0496,Software Engineer,INTERN,8.12,31517.7,Chennai,REFERRAL,ACCEPTED,0,2026-01-04 13:22:00
OF9065,1,2022-12-31,2023-02-21,ST01873,CO1041,CL1347,Data Analyst,FTE,34.73,0.0,Pune,REFERRAL,OFFERED,0,2026-01-04 08:51:00
OF9066,1,2023-05-23,2023-09-30,ST03251,CO3663,CL4340,Data Analyst,INTERN,15.71,98713.5,Pune,REFERRAL,OFFERED,0,2026-01-01 16:01:00
OF9067,1,2021-08-04,2021-09-26,ST00531,CO0579,CL2065,Software Engineer,FTE,24.61,0.0,Bengaluru,OFF_CAMPUS,ACCEPTED,0,2026-01-04 17:47:00
OF9068,1,2023-11-09,2024-04-25,ST01246,CO3919,CL3809,QA Engineer,FTE,7.62,0.0,Noida,REFERRAL,JOINED,1,2026-01-01 13:45:00
OF9069,1,2020-11-03,2021-03-14,ST04545,CO0999,CL3404,QA Engineer,FTE,40.08,0.0,Bengaluru,REFERRAL,JOINED,1,2026-01-02 18:48:00
OF9070,1,2017-05-09,2017-10-19,ST03834,CO4131,CL3071,Data Analyst,INTERN,33.84,73414.0,Bengaluru,REFERRAL,REJECTED,0,2026-01-05 03:46:00
OF9071,1,2024-02-20,2024-05-06,ST01627,CO4884,CL4640,Data Analyst,FTE,13.24,0.0,Pune,OFF_CAMPUS,WITHDRAWN,0,2026-01-04 09:29:00
OF9072,1,2023-09-01,2024-02-03,ST00165,CO1928,CL1964,QA Engineer,INTERN,9.41,73962.8,Bengaluru,ON_CAMPUS,ACCEPTED,0,2026-01-02 21:51:00
OF9073,1,2018-08-05,2018-10-26,ST03074,CO3807,CL3780,Software Engineer,INTERN,34.04,80009.5,Hyderabad,ON_CAMPUS,JOINED,1,2026-01-01 17:56:00
OF9074,1,2023-12-02,2024-01-12,ST02066,CO3381,CL3213,QA Engineer,FTE,8.75,0.0,Hyderabad,REFERRAL,ACCEPTED,0,2026-01-01 10:09:00
OF9075,1,2021-12-03,2022-02-18,ST02320,CO1585,CL0161,QA Engineer,FTE,21.84,0.0,Pune,OFF_CAMPUS,OFFERED,0,2026-01-05 12:02:00
OF9076,1,2020-05-07,2020-08-24,ST03878,CO1828,CL3942,Software Engineer,FTE,25.78,0.0,Chennai,ON_CAMPUS,ACCEPTED,0,2026-01-03 04:27:00
OF9077,1,2020-07-13,2020-09-28,ST01032,CO3563,CL3124,Data Analyst,FTE,33.41,0.0,Bengaluru,ON_CAMPUS,JOINED,1,2026-01-04 21:46:00
