COLLEGE_ID,COLLEGE_NAME,CITY,STATE,COUNTRY,OWNERSHIP,TIER,CATEGORY,ESTABLISHED_DATE,STATUS
CL0000,College_0,Delhi,MH,India,Government,Tier2,Management,31-12-1999,Active
CL0001,College_1,Delhi,KA,India,Government,Tier2,Management,31-12-1999,Active
CL0002,College_2,Mumbai,TS,India,Private,Tier2,Management,31-12-1999,Active
CL0003,College_3,Mumbai,KA,India,Government,Tier1,Engineering,31-12-1999,Active
CL0004,College_4,Mumbai,DL,India,Government,Tier1,Management,31-12-1999,Active
CL0005,College_5,Bangalore,MH,India,Private,Tier2,Management,31-12-1999,Active
CL0006,College_6,Bangalore,TS,India,Government,Tier3,Management,31-12-1999,Active
CL0007,College_7,Mumbai,MH,India,Government,Tier2,Management,31-12-1999,Active
CL0008,College_8,Delhi,DL,India,Government,Tier1,Engineering,31-12-1999,Active
CL0009,College_9,Chennai,DL,India,Government,Tier3,Management,31-12-1999,Active
CL0010,College_10,Delhi,MH,India,Private,Tier1,Management,31-12-1999,Active
CL0011,College_11,Bangalore,KA,India,Government,Tier1,Engineering,31-12-1999,Active
CL0012,College_12,Bangalore,TS,India,Private,Tier1,Management,31-12-1999,Active
CL0013,College_13,Hyderabad,TN,India,Government,Tier3,Engineering,31-12-1999,Active
CL0014,College_14,Delhi,TN,India,Private,Tier1,Management,31-12-1999,Active
CL0015,College_15,Hyderabad,DL,India,Government,Tier1,Management,31-12-1999,Active
CL0016,College_16,Chennai,MH,India,Government,Tier3,Management,31-12-1999,Active
CL0017,College_17,Delhi,DL,India,Private,Tier2,Engineering,31-12-1999,Active
CL0018,College_18,Hyderabad,DL,India,Government,Tier2,Management,31-12-1999,Active
CL0019,College_19,Bangalore,MH,India,Private,Tier1,Management,31-12-1999,Active
CL0020,College_20,Hyderabad,MH,India,Government,Tier2,Management,31-12-1999,Active
CL0021,College_21,Bangalore,TN,India,Government,Tier3,Engineering,31-12-1999,Active
CL0022,College_22,Bangalore,MH,India,Government,Tier1,Management,31-12-1999,Active
CL0023,College_23,Bangalore,DL,India,Private,Tier1,Engineering,31-12-1999,Active
CL0024,College_24,Mumbai,DL,India,Government,Tier2,Management,31-12-1999,Active
CL0025,College_25,Bangalore,DL,India,Government,Tier1,Management,31-12-1999,Active
CL0026,College_26,Delhi,KA,India,Private,Tier2,Management,31-12-1999,Active
CL0027,College_27,Hyderabad,TS,India,Private,Tier1,Management,31-12-1999,Active
CL0028,College_28,Chennai,KA,India,Government,Tier3,Management,31-12-1999,Active
CL0029,College_29,Bangalore,MH,India,Government,Tier2,Management,31-12-1999,Active
CL0030,College_30,Bangalore,KA,India,Government,Tier3,Engineering,31-12-1999,Active
CL0031,College_31,Hyderabad,MH,India,Private,Tier1,Management,31-12-1999,Active
CL0032,College_32,Hyderabad,MH,India,Government,Tier2,Engineering,31-12-1999,Active
CL0033,College_33,Mumbai,TS,India,Government,Tier1,Engineering,31-12-1999,Active
CL0034,College_34,Chennai,TN,India,Government,Tier1,Management,31-12-1999,Active
CL0035,College_35,Chennai,DL,India,Government,Tier2,Engineering,31-12-1999,Active
CL0036,College_36,Delhi,MH,India,Private,Tier3,Management,31-12-1999,Active
CL0037,College_37,Bangalore,MH,India,Government,Tier1,Engineering,31-12-1999,Active
CL0038,College_38,Delhi,DL,India,Private,Tier1,Management,31-12-1999,Active
CL0039,College_39,Delhi,DL,India,Private,Tier3,Engineering,31-12-1999,Active
CL0040,College_40,Chennai,TS,India,Private,Tier3,Management,31-12-1999,Active
CL0041,College_41,Delhi,KA,India,Government,Tier1,Management,31-12-1999,Active
CL0042,College_42,Mumbai,MH,India,Government,Tier1,Engineering,31-12-1999,Active
CL0043,College_43,Hyderabad,DL,India,Private,Tier2,Engineering,31-12-1999,Active
CL0044,College_44,Hyderabad,TN,India,Private,Tier2,Engineering,31-12-1999,Active
CL0045,College_45,Chennai,TS,India,Private,Tier1,Engineering,31-12-1999,Active
CL0046,College_46,Delhi,MH,India,Private,Tier3,Management,31-12-1999,Active
