COMPANY_ID,COMPANY_NAME,INDUSTRY,HQ_COUNTRY,SIZE_BAND,HIRING_CITY,HIRING_STATE,STATUS,PARTNER_SINCE,UPDATED_AT
CO0000,Company_0,Manufacturing,India,Small,Bangalore,KA,Active,,2024-11-01 00:00:00
CO0001,Company_1,Consulting,India,Small,Bangalore,TN,Active,,2025-06-11 00:00:00
CO0002,Company_2,Finance,India,Small,Mumbai,MH,Active,,2022-11-17 00:00:00
CO0003,Company_3,IT,India,Small,Chennai,MH,Active,,2020-06-16 00:00:00
CO0004,Company_4,IT,India,Small,Chennai,KA,Active,,2024-03-11 00:00:00
CO0005,Company_5,Manufacturing,India,Small,Mumbai,MH,Active,,2023-09-13 00:00:00
CO0006,Company_6,Consulting,India,Medium,Bangalore,KA,Active,,2024-08-21 00:00:00
CO0007,Company_7,Finance,India,Medium,Bangalore,TN,Active,,2019-07-01 00:00:00
CO0008,Company_8,Manufacturing,India,Small,Bangalore,KA,Active,,2016-10-28 00:00:00
CO0009,Company_9,Finance,India,Small,Bangalore,TN,Active,,2023-03-19 00:00:00
CO0010,Company_10,Manufacturing,India,Large,Bangalore,TS,Active,,2018-11-13 00:00:00
CO0011,Company_11,Finance,India,Small,Bangalore,TS,Active,,2019-04-13 00:00:00
CO0012,Company_12,IT,India,Large,Mumbai,KA,Active,,2023-07-16 00:00:00
CO0013,Company_13,IT,India,Large,Hyderabad,TN,Active,,2022-05-14 00:00:00
CO0014,Company_14,Consulting,India,Medium,Mumbai,MH,Active,,2022-09-17 00:00:00
CO0015,Company_15,Consulting,India,Large,Bangalore,KA,Active,,2020-02-14 00:00:00
CO0016,Company_16,Finance,India,Small,Hyderabad,TN,Active,,2017-03-04 00:00:00
CO0017,Company_17,Manufacturing,India,Medium,Hyderabad,KA,Active,,2023-07-15 00:00:00
CO0018,Company_18,Consulting,India,Large,Mumbai,KA,Active,,2018-10-28 00:00:00
CO0019,Company_19,Consulting,India,Small,Hyderabad,TN,Active,,2025-08-28 00:00:00
CO0020,Company_20,IT,India,Small,Bangalore,TN,Active,,2018-05-10 00:00:00
CO0021,Company_21,IT,India,Large,Chennai,TN,Active,,2024-11-09 00:00:00
CO0022,Company_22,IT,India,Small,Hyderabad,KA,Active,,2021-10-19 00:00:00
CO0023,Company_23,Finance,India,Large,Chennai,TS,Active,,2024-04-02 00:00:00
CO0024,Company_24,Manufacturing,India,Medium,Bangalore,KA,Active,,2023-07-12 00:00:00
CO0025,Company_25,Finance,India,Medium,Bangalore,KA,Active,,2016-05-18 00:00:00
CO0026,Company_26,IT,India,Large,Hyderabad,KA,Active,,2017-11-13 00:00:00
CO0027,Company_27,Manufacturing,India,Small,Hyderabad,KA,Active,,2018-03-01 00:00:00
CO0028,Company_28,Manufacturing,India,Large,Chennai,KA,Active,,2019-06-04 00:00:00
CO0029,Company_29,IT,India,Medium,Mumbai,TS,Active,,2024-04-09 00:00:00
CO0030,Company_30,IT,India,Large,Bangalore,KA,Active,,2020-02-23 00:00:00
CO0031,Company_31,Manufacturing,India,Large,Chennai,KA,Active,,2025-12-06 00:00:00
CO0032,Company_32,Manufacturing,India,Small,Hyderabad,KA,Active,,2023-05-14 00:00:00
CO0033,Company_33,Manufacturing,India,Medium,Hyderabad,KA,Active,,2016-06-28 00:00:00
CO0034,Company_34,Consulting,India,Small,Hyderabad,TS,Active,,2024-07-25 00:00:00
CO0035,Company_35,Manufacturing,India,Medium,Bangalore,TS,Active,,2019-11-01 00:00:00
CO0036,Company_36,Consulting,India,Large,Mumbai,TN,Active,,2023-07-18 00:00:00
CO0037,Company_37,IT,India,Medium,Chennai,TS,Active,,2017-11-16 00:00:00
CO0038,Company_38,Manufacturing,India,Small,Bangalore,TN,Active,,2017-11-24 00:00:00
CO0039,Company_39,IT,India,Small,Bangalore,MH,Active,,2017-02-06 00:00:00
CO0040,Company_40,Manufacturing,India,Small,Hyderabad,TN,Active,,2022-11-15 00:00:00
CO0041,Company_41,Finance,India,Large,Hyderabad,TS,Active,,2018-02-07 00:00:00
CO0042,Company_42,Consulting,India,Large,Hyderabad,TS,Active,,2023-11-28 00:00:00
CO0043,Company_43,Consulting,India,Small,Mumbai,KA,Active,,2019-01-21 00:00:00
CO0044,Company_44,IT,India,Medium,Hyderabad,MH,Active,,2017-04-07 00:00:00
CO0045,Company_45,Consulting,India,Large,Mumbai,MH,Active,,2017-06-26 00:00:00
CO0046,Company_46,Manufacturing,India,Medium,Mumbai,MH,Active,,2020-04-09 00:00:00
CO0047,Company_47,IT,India,Large,Chennai,MH,Active,,2019-09-15 00:00:00
CO0048,Company_48,Finance,India,Small,Bangalore,KA,Active,,2025-01-10 00:00:00
CO0049,Company_49,Consulting,India,Small,Bangalore,KA,Active,,2022-01-01 00:00:00
CO0050,Company_50,IT,India,Medium,Bangalore,TS,Active,,2020-02-18 00:00:00
CO0051,Company_51,IT,India,Medium,Bangalore,KA,Active,,2023-12-26 00:00:00
CO0052,Company_52,IT,India,Medium,Mumbai,TS,Active,,2016-06-21 00:00:00
CO0053,Company_53,Finance,India,Small,Mumbai,MH,Active,,2024-10-16 00:00:00
CO0054,Company_54,Finance,India,Medium,Chennai,MH,Active,,2025-08-27 00:00:00
CO0055,Company_55,Consulting,India,Small,Bangalore,TN,Active,,2022-01-02 00:00:00
CO0056,Company_56,IT,India,Medium,Hyderabad,MH,Active,,2024-11-23 00:00:00
CO0057,Company_57,Finance,India,Medium,Bangalore,MH,Active,,2021-04-04 00:00:00
CO0058,Company_58,Manufacturing,India,Large,Chennai,KA,Active,,2018-04-30 00:00:00
