OFFER_ID,OFFER_LINE_ID,OFFER_DATE,EXPECTED_JOIN_DATE,STUDENT_ID,COMPANY_ID,COLLEGE_ID,ROLE_TITLE,OFFER_LEVEL,CTC_LPA,MONTHLY_STIPEND,JOB_CITY,HIRING_MODE,OFFER_STATUS,IS_JOINED,UPDATED_AT
OF000000,OL1,13-01-2020,2024-07-29,ST06916,CO3077,CL7880,Associate,L3,,40484.0,Hyderabad,OnCampus,Offered,1,2023-01-23 00:00:00
OF000001,OL3,2023-05-07,2024-12-20,ST05155,CO5382,CL0104,Software Engineer,L3,,22770.0,Hyderabad,OnCampus,Joined,0,2023-08-16 00:00:00
OF000002,OL3,2017-01-04,2018-09-02,ST06017,CO9574,CL9175,Associate,L2,,38699.0,Mumbai,OnCampus,Joined,1,2017-06-25 00:00:00
OF000003,OL3,2025-10-05,2026-01-25,ST03493,CO4239,CL8674,Associate,L2,,48736.0,Bangalore,OffCampus,Joined,1,2025-02-12 00:00:00
OF000004,OL1,2021-05-06,2022-05-01,ST08248,CO9367,CL3910,Software Engineer,L3,,37356.0,Chennai,OnCampus,Accepted,0,2021-01-30 00:00:00
OF000005,OL3,13-01-2020,2026-07-17,ST03702,CO0389,CL0245,Analyst,L1,,15042.0,Bangalore,OffCampus,Joined,0,2025-06-11 00:00:00
OF000006,OL2,2017-02-28,2018-08-23,ST00576,CO3747,CL6158,Software Engineer,L3,,44213.0,Bangalore,OffCampus,Offered,0,2017-05-13 00:00:00
OF000007,OL1,2021-02-25,2022-03-09,ST00398,CO9960,CL6825,Associate,L2,,16504.0,Mumbai,OffCampus,Accepted,1,2021-01-31 00:00:00
OF000008,OL3,2023-06-08,2024-02-29,ST06212,CO5512,CL1306,Associate,L3,,36497.0,Chennai,OnCampus,Offered,0,2023-06-19 00:00:00
OF000009,OL2,2019-11-26,2020-07-17,ST08617,CO5954,CL0797,Analyst,L1,,25824.0,Chennai,OffCampus,Joined,1,2019-12-06 00:00:00
OF000010,OL1,13-01-2020,2024-06-20,ST00997,CO8933,CL5781,Associate,L2,,32903.0,Hyderabad,OnCampus,Offered,0,2023-08-09 00:00:00
OF000011,OL1,2023-01-13,2024-03-10,ST08978,CO8770,CL7517,Associate,L3,,40951.0,Mumbai,OffCampus,Joined,0,2023-10-30 00:00:00
OF000012,OL2,2024-03-09,2025-06-08,ST01496,CO5613,CL4070,Analyst,L3,,33995.0,Mumbai,OnCampus,Joined,0,2024-07-16 00:00:00
OF000013,OL1,2016-08-17,2017-12-20,ST07799,CO6474,CL0534,Associate,L1,,39106.0,Hyderabad,OffCampus,Joined,0,2016-11-05 00:00:00
OF000014,OL1,2018-08-22,2019-04-03,ST06879,CO8824,CL9594,Software Engineer,L1,,17302.0,Chennai,OffCampus,Accepted,1,2018-05-31 00:00:00
OF000015,OL3,13-01-2020,2022-07-17,ST02821,CO8761,CL7078,Associate,L3,,45490.0,Mumbai,OnCampus,Joined,1,2021-10-17 00:00:00
OF000016,OL1,2019-02-28,2020-06-28,ST05765,CO2503,CL5344,Associate,L3,,21620.0,Chennai,OnCampus,Accepted,0,2019-10-02 00:00:00
OF000017,OL3,2019-11-21,2020-08-05,ST07053,CO3734,CL6555,Analyst,L3,,48638.0,Bangalore,OffCampus,Accepted,0,2019-12-24 00:00:00
OF000018,OL2,2018-10-12,2019-12-16,ST05443,CO3946,CL3557,Analyst,L1,,18295.0,Hyderabad,OffCampus,Accepted,1,2018-05-23 00:00:00
OF000019,OL2,2025-09-12,2026-12-03,ST09380,CO7545,CL1705,Software Engineer,L1,,34475.0,Hyderabad,OffCampus,Offered,1,2025-12-07 00:00:00
OF000020,OL2,13-01-2020,2026-06-13,ST02224,CO5986,CL6314,Software Engineer,L1,,12703.0,Bangalore,OffCampus,Offered,0,2025-09-02 00:00:00
OF000021,OL2,2018-02-18,2019-08-05,ST00919,CO7100,CL3218,Analyst,L1,,44798.0,Bangalore,OffCampus,Offered,0,2018-03-11 00:00:00
OF000022,OL2,2025-07-05,2026-04-12,ST00489,CO2386,CL6400,Analyst,L1,,37460.0,Bangalore,OnCampus,Joined,1,2025-05-05 00:00:00
OF000023,OL2,2025-11-08,2026-02-04,ST03910,CO7855,CL7792,Software Engineer,L2,,14553.0,Hyderabad,OffCampus,Joined,1,2025-07-11 00:00:00
OF000024,OL2,2022-12-17,2023-01-08,ST00717,CO7944,CL8173,Analyst,L3,,11734.0,Chennai,OffCampus,Offered,1,2022-11-20 00:00:00
OF000025,OL3,13-01-2020,2020-04-01,ST02188,CO5576,CL7855,Analyst,L1,,26447.0,Bangalore,OnCampus,Accepted,1,2019-11-25 00:00:00
OF000026,OL2,2016-02-06,2017-02-19,ST07980,CO3684,CL9250,Analyst,L3,,33800.0,Chennai,OffCampus,Accepted,0,2016-01-20 00:00:00
OF000027,OL3,2018-10-30,2019-11-14,ST03965,CO8361,CL5660,Software Engineer,L1,,30308.0,Hyderabad,OnCampus,Offered,0,2018-07-06 00:00:00
OF000028,OL2,2019-10-03,2020-02-17,ST04091,CO4706,CL1968,Associate,L2,,29167.0,Bangalore,OffCampus,Joined,1,2019-03-26 00:00:00
OF000029,OL3,2022-12-03,2023-03-19,ST06385,CO6874,CL7698,Analyst,L2,,41508.0,Bangalore,OnCampus,Joined,0,2022-09-17 00:00:00
OF000030,OL1,13-01-2020,2021-03-26,ST04287,CO7630,CL7432,Analyst,L2,,32821.0,Bangalore,OnCampus,Accepted,1,2020-06-20 00:00:00
OF000031,OL3,2021-02-03,2022-02-12,ST06647,CO4363,CL3837,Software Engineer,L2,,42345.0,Hyderabad,OnCampus,Joined,1,2021-03-27 00:00:00
OF000032,OL2,2024-01-03,2025-04-05,ST05583,CO2277,CL2844,Analyst,L1,,41333.0,Mumbai,OnCampus,Joined,0,2024-10-25 00:00:00
OF000033,OL3,2021-01-25,2022-10-04,ST05372,CO5864,CL9722,Associate,L2,,38696.0,Hyderabad,OffCampus,Accepted,1,2021-02-14 00:00:00
OF000034,OL2,2020-03-06,2021-03-19,ST09508,CO1069,CL1032,Software Engineer,L2,,17181.0,Chennai,OnCampus,Accepted,1,2020-12-09 00:00:00
OF000035,OL1,13-01-2020,2019-08-01,ST04885,CO4783,CL4257,Software Engineer,L2,,10644.0,Hyderabad,OffCampus,Offered,0,2018-03-14 00:00:00
OF000036,OL3,2023-06-02,2024-10-10,ST03396,CO7031,CL3517,Software Engineer,L1,,30412.0,Bangalore,OffCampus,Offered,0,2023-04-28 00:00:00
OF000037,OL3,2016-09-02,2017-01-11,ST01181,CO0320,CL0757,Associate,L2,,14512.0,Bangalore,OffCampus,Accepted,1,2016-04-30 00:00:00
OF000038,OL3,2024-11-21,2025-01-29,ST00836,CO7513,CL5545,Associate,L1,,39108.0,Bangalore,OnCampus,Accepted,0,2024-05-27 00:00:00
OF000039,OL3,2025-08-06,2026-12-09,ST02455,CO5182,CL0821,Associate,L2,,40885.0,Chennai,OffCampus,Offered,1,2025-08-05 00:00:00
OF000040,OL2,13-01-2020,2022-05-30,ST06397,CO6531,CL1025,Associate,L3,,11984.0,Chennai,OffCampus,Offered,1,2021-09-10 00:00:00
OF000041,OL1,2025-02-05,2026-07-26,ST07880,CO8766,CL7262,Analyst,L2,,44894.0,Chennai,OnCampus,Joined,0,2025-08-18 00:00:00
OF000042,OL1,2022-05-22,2023-12-20,ST00647,CO6868,CL4436,Analyst,L3,,19997.0,Mumbai,OnCampus,Accepted,1,2022-02-13 00:00:00
OF000043,OL3,2021-07-01,2022-09-14,ST00019,CO4357,CL2697,Associate,L2,,36591.0,Chennai,OnCampus,Accepted,0,2021-04-02 00:00:00
OF000044,OL1,2016-03-01,2017-05-21,ST04026,CO6782,CL6841,Associate,L2,,34623.0,Hyderabad,OffCampus,Offered,1,2016-02-06 00:00:00
OF000045,OL1,13-01-2020,2022-09-30,ST00150,CO1617,CL0584,Associate,L3,,41850.0,Mumbai,OffCampus,Joined,1,2021-07-18 00:00:00
OF000046,OL3,2017-05-10,2018-07-16,ST01494,CO8691,CL8727,Associate,L3,,43561.0,Chennai,OffCampus,Accepted,0,2017-07-16 00:00:00
OF000047,OL1,2018-11-28,2019-09-06,ST07175,CO9541,CL8095,Software Engineer,L3,,14803.0,Chennai,OffCampus,Offered,0,2018-11-04 00:00:00
OF000048,OL3,2023-07-21,2024-02-13,ST00476,CO8776,CL3669,Software Engineer,L1,,39191.0,Chennai,OffCampus,Offered,0,2023-10-30 00:00:00
OF000049,OL2,2021-04-10,2022-03-03,ST02068,CO1123,CL5807,Analyst,L2,,36768.0,Hyderabad,OnCampus,Offered,1,2021-03-28 00:00:00
OF000050,OL1,13-01-2020,2018-09-12,ST00638,CO5987,CL3894,Software Engineer,L1,,11675.0,Chennai,OnCampus,Offered,0,2017-11-30 00:00:00
OF000051,OL2,2025-03-20,2026-05-08,ST03606,CO3243,CL0521,Analyst,L1,,22655.0,Mumbai,OffCampus,Joined,1,2025-11-27 00:00:00
OF000052,OL1,2016-01-30,2017-03-19,ST09767,CO6646,CL6709,Software Engineer,L3,,38291.0,Bangalore,OnCampus,Offered,0,2016-05-19 00:00:00
OF000053,OL3,2020-09-21,2021-07-17,ST04618,CO1159,CL9368,Analyst,L1,,22665.0,Hyderabad,OnCampus,Offered,1,2020-03-13 00:00:00
